,Object,x_perturb,y_perturb,successes,trials
113,CeylonTea_800_tex.urdf,0.01,0.0,40.0,50.0
114,CeylonTea_800_tex.urdf,0.02,0.0,34.0,50.0
115,CeylonTea_800_tex.urdf,-0.02,0.01,38.0,50.0
116,CeylonTea_800_tex.urdf,-0.01,0.01,38.0,50.0
117,CeylonTea_800_tex.urdf,0.0,0.01,37.0,50.0
118,CeylonTea_800_tex.urdf,0.01,0.01,37.0,50.0
119,CeylonTea_800_tex.urdf,0.02,0.01,35.0,50.0
120,CeylonTea_800_tex.urdf,-0.02,0.02,36.0,50.0
121,CeylonTea_800_tex.urdf,-0.01,0.02,36.0,50.0
122,CeylonTea_800_tex.urdf,0.0,0.02,39.0,50.0
123,CeylonTea_800_tex.urdf,0.01,0.02,40.0,50.0
124,CeylonTea_800_tex.urdf,0.02,0.02,37.0,50.0
125,ChickenSoup_800_tex.urdf,-0.02,-0.02,47.0,50.0
126,ChickenSoup_800_tex.urdf,-0.01,-0.02,45.0,50.0
127,ChickenSoup_800_tex.urdf,0.0,-0.02,46.0,50.0
128,ChickenSoup_800_tex.urdf,0.01,-0.02,46.0,50.0
129,ChickenSoup_800_tex.urdf,0.02,-0.02,38.0,50.0
130,ChickenSoup_800_tex.urdf,-0.02,-0.01,44.0,50.0
131,ChickenSoup_800_tex.urdf,-0.01,-0.01,45.0,50.0
132,ChickenSoup_800_tex.urdf,0.0,-0.01,43.0,50.0
133,ChickenSoup_800_tex.urdf,0.01,-0.01,45.0,50.0
134,ChickenSoup_800_tex.urdf,0.02,-0.01,44.0,50.0
135,ChickenSoup_800_tex.urdf,-0.02,0.0,42.0,50.0
136,ChickenSoup_800_tex.urdf,-0.01,0.0,43.0,50.0
137,ChickenSoup_800_tex.urdf,0.0,0.0,43.0,50.0
138,ChickenSoup_800_tex.urdf,0.01,0.0,41.0,50.0
139,ChickenSoup_800_tex.urdf,0.02,0.0,46.0,50.0
140,ChickenSoup_800_tex.urdf,-0.02,0.01,45.0,50.0
141,ChickenSoup_800_tex.urdf,-0.01,0.01,42.0,50.0
142,ChickenSoup_800_tex.urdf,0.0,0.01,45.0,50.0
143,ChickenSoup_800_tex.urdf,0.01,0.01,46.0,50.0
144,ChickenSoup_800_tex.urdf,0.02,0.01,47.0,50.0
145,ChickenSoup_800_tex.urdf,-0.02,0.02,46.0,50.0
146,ChickenSoup_800_tex.urdf,-0.01,0.02,44.0,50.0
147,ChickenSoup_800_tex.urdf,0.0,0.02,42.0,50.0
148,ChickenSoup_800_tex.urdf,0.01,0.02,42.0,50.0
149,ChickenSoup_800_tex.urdf,0.02,0.02,45.0,50.0
150,ChocMarshmallows_800_tex.urdf,-0.02,-0.02,37.0,50.0
151,ChocMarshmallows_800_tex.urdf,-0.01,-0.02,32.0,50.0
152,ChocMarshmallows_800_tex.urdf,0.0,-0.02,29.0,50.0
153,ChocMarshmallows_800_tex.urdf,0.01,-0.02,34.0,50.0
154,ChocMarshmallows_800_tex.urdf,0.02,-0.02,32.0,50.0
155,ChocMarshmallows_800_tex.urdf,-0.02,-0.01,35.0,50.0
156,ChocMarshmallows_800_tex.urdf,-0.01,-0.01,32.0,50.0
157,ChocMarshmallows_800_tex.urdf,0.0,-0.01,38.0,50.0
158,ChocMarshmallows_800_tex.urdf,0.01,-0.01,31.0,50.0
159,ChocMarshmallows_800_tex.urdf,0.02,-0.01,36.0,50.0
160,ChocMarshmallows_800_tex.urdf,-0.02,0.0,35.0,50.0
161,ChocMarshmallows_800_tex.urdf,-0.01,0.0,35.0,50.0
162,ChocMarshmallows_800_tex.urdf,0.0,0.0,29.0,50.0
163,ChocMarshmallows_800_tex.urdf,0.01,0.0,33.0,50.0
164,ChocMarshmallows_800_tex.urdf,0.02,0.0,33.0,50.0
165,ChocMarshmallows_800_tex.urdf,-0.02,0.01,33.0,50.0
166,ChocMarshmallows_800_tex.urdf,-0.01,0.01,33.0,50.0
167,ChocMarshmallows_800_tex.urdf,0.0,0.01,36.0,50.0
168,ChocMarshmallows_800_tex.urdf,0.01,0.01,33.0,50.0
169,ChocMarshmallows_800_tex.urdf,0.02,0.01,33.0,50.0
170,ChocMarshmallows_800_tex.urdf,-0.02,0.02,34.0,50.0
171,ChocMarshmallows_800_tex.urdf,-0.01,0.02,33.0,50.0
172,ChocMarshmallows_800_tex.urdf,0.0,0.02,37.0,50.0
173,ChocMarshmallows_800_tex.urdf,0.01,0.02,33.0,50.0
174,ChocMarshmallows_800_tex.urdf,0.02,0.02,31.0,50.0
175,ChocSticks2_800_tex.urdf,-0.02,-0.02,17.0,50.0
176,ChocSticks2_800_tex.urdf,-0.01,-0.02,15.0,50.0
177,ChocSticks2_800_tex.urdf,0.0,-0.02,13.0,50.0
178,ChocSticks2_800_tex.urdf,0.01,-0.02,17.0,50.0
179,ChocSticks2_800_tex.urdf,0.02,-0.02,23.0,50.0
180,ChocSticks2_800_tex.urdf,-0.02,-0.01,13.0,50.0
181,ChocSticks2_800_tex.urdf,-0.01,-0.01,15.0,50.0
182,ChocSticks2_800_tex.urdf,0.0,-0.01,18.0,50.0
183,ChocSticks2_800_tex.urdf,0.01,-0.01,21.0,50.0
184,ChocSticks2_800_tex.urdf,0.02,-0.01,17.0,50.0
185,ChocSticks2_800_tex.urdf,-0.02,0.0,18.0,50.0
186,ChocSticks2_800_tex.urdf,-0.01,0.0,20.0,50.0
187,ChocSticks2_800_tex.urdf,0.0,0.0,17.0,50.0
188,ChocSticks2_800_tex.urdf,0.01,0.0,21.0,50.0
189,ChocSticks2_800_tex.urdf,0.02,0.0,17.0,50.0
190,ChocSticks2_800_tex.urdf,-0.02,0.01,14.0,50.0
191,ChocSticks2_800_tex.urdf,-0.01,0.01,19.0,50.0
192,ChocSticks2_800_tex.urdf,0.0,0.01,16.0,50.0
193,ChocSticks2_800_tex.urdf,0.01,0.01,16.0,50.0
194,ChocSticks2_800_tex.urdf,0.02,0.01,18.0,50.0
195,ChocSticks2_800_tex.urdf,-0.02,0.02,19.0,50.0
196,ChocSticks2_800_tex.urdf,-0.01,0.02,23.0,50.0
197,ChocSticks2_800_tex.urdf,0.0,0.02,19.0,50.0
198,ChocSticks2_800_tex.urdf,0.01,0.02,17.0,50.0
199,ChocSticks2_800_tex.urdf,0.02,0.02,17.0,50.0
200,ChocSticks_800_tex.urdf,-0.02,-0.02,18.0,50.0
201,ChocSticks_800_tex.urdf,-0.01,-0.02,18.0,50.0
202,ChocSticks_800_tex.urdf,0.0,-0.02,24.0,50.0
203,ChocSticks_800_tex.urdf,0.01,-0.02,27.0,50.0
204,ChocSticks_800_tex.urdf,0.02,-0.02,26.0,50.0
205,ChocSticks_800_tex.urdf,-0.02,-0.01,26.0,50.0
206,ChocSticks_800_tex.urdf,-0.01,-0.01,25.0,50.0
207,ChocSticks_800_tex.urdf,0.0,-0.01,25.0,50.0
208,ChocSticks_800_tex.urdf,0.01,-0.01,24.0,50.0
209,ChocSticks_800_tex.urdf,0.02,-0.01,26.0,50.0
210,ChocSticks_800_tex.urdf,-0.02,0.0,25.0,50.0
211,ChocSticks_800_tex.urdf,-0.01,0.0,20.0,50.0
212,ChocSticks_800_tex.urdf,0.0,0.0,23.0,50.0
213,ChocSticks_800_tex.urdf,0.01,0.0,27.0,50.0
214,ChocSticks_800_tex.urdf,0.02,0.0,18.0,50.0
215,ChocSticks_800_tex.urdf,-0.02,0.01,21.0,50.0
216,ChocSticks_800_tex.urdf,-0.01,0.01,28.0,50.0
217,ChocSticks_800_tex.urdf,0.0,0.01,21.0,50.0
218,ChocSticks_800_tex.urdf,0.01,0.01,21.0,50.0
219,ChocSticks_800_tex.urdf,0.02,0.01,18.0,50.0
220,ChocSticks_800_tex.urdf,-0.02,0.02,17.0,50.0
221,ChocSticks_800_tex.urdf,-0.01,0.02,23.0,50.0
222,ChocSticks_800_tex.urdf,0.0,0.02,22.0,50.0
223,ChocSticks_800_tex.urdf,0.01,0.02,21.0,50.0
224,ChocSticks_800_tex.urdf,0.02,0.02,18.0,50.0
225,ChocoIcing_800_tex.urdf,-0.02,-0.02,33.0,50.0
226,ChocoIcing_800_tex.urdf,-0.01,-0.02,36.0,50.0
227,ChocoIcing_800_tex.urdf,0.0,-0.02,39.0,50.0
228,ChocoIcing_800_tex.urdf,0.01,-0.02,40.0,50.0
229,ChocoIcing_800_tex.urdf,0.02,-0.02,30.0,50.0
230,ChocoIcing_800_tex.urdf,-0.02,-0.01,40.0,50.0
231,ChocoIcing_800_tex.urdf,-0.01,-0.01,37.0,50.0
232,ChocoIcing_800_tex.urdf,0.0,-0.01,40.0,50.0
233,ChocoIcing_800_tex.urdf,0.01,-0.01,36.0,50.0
234,ChocoIcing_800_tex.urdf,0.02,-0.01,34.0,50.0
235,ChocoIcing_800_tex.urdf,-0.02,0.0,39.0,50.0
236,ChocoIcing_800_tex.urdf,-0.01,0.0,35.0,50.0
237,ChocoIcing_800_tex.urdf,0.0,0.0,34.0,50.0
238,ChocoIcing_800_tex.urdf,0.01,0.0,39.0,50.0
239,ChocoIcing_800_tex.urdf,0.02,0.0,39.0,50.0
240,ChocoIcing_800_tex.urdf,-0.02,0.01,33.0,50.0
241,ChocoIcing_800_tex.urdf,-0.01,0.01,44.0,50.0
242,ChocoIcing_800_tex.urdf,0.0,0.01,31.0,50.0
243,ChocoIcing_800_tex.urdf,0.01,0.01,39.0,50.0
244,ChocoIcing_800_tex.urdf,0.02,0.01,35.0,50.0
245,ChocoIcing_800_tex.urdf,-0.02,0.02,37.0,50.0
246,ChocoIcing_800_tex.urdf,-0.01,0.02,38.0,50.0
247,ChocoIcing_800_tex.urdf,0.0,0.02,41.0,50.0
248,ChocoIcing_800_tex.urdf,0.01,0.02,40.0,50.0
249,ChocoIcing_800_tex.urdf,0.02,0.02,36.0,50.0
